ups non doc,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_KG,USA,Canada,"Mexico, Puerto Rico",Germany,"Belgium, Netherlands, Luxembourg",UK,"Denmark, France, Italy, Spain, Switzerland","Austria, Ireland, Portugal, Sweden","Norway, Finland, Greece",Japan,South Korea,"Hong Kong, Singapore, Thailand, Malaysia",Australia,New Zealand,ZONE 1,ZONE 2,ZONE 3,ZONE 4,ZONE 6,ZONE 10,ZONE 7,ZONE 8,ZONE 9
50,27784,43527,35131,40606,41493,38032,46722,48076,48330,52606,70002,47853,29121,69994,69994,69992,70002,,,,,,
50.5,28082,43953,35481,40978,41891,38375,47261,48479,48831,53083,70674,48402,29433,70667,70667,70657,70674,,,,,,
51,28342,44341,35792,41311,42251,38589,47608,48844,49204,53521,71307,48758,29706,71301,71301,71283,71307,,,,,,
51.5,28641,44767,36141,41682,42649,38932,48147,49246,49705,53998,71979,49307,30018,71973,71973,71948,71979,,,,,,
52,28901,45154,36452,42015,43009,39147,48493,49611,50078,54436,72613,49663,30291,72607,72607,72574,72613,,,,,,
52.5,29199,45580,36802,42386,43407,39490,49032,50013,50579,54913,73285,50212,30603,73280,73280,73239,73285,,,,,,
53,29459,45967,37113,42719,43767,39705,49378,50378,50951,55351,73918,50568,30877,73914,73914,73865,73918,,,,,,
53.5,29757,46393,37462,43090,44165,40048,49917,50780,51452,55828,74591,51117,31189,74586,74586,74530,74591,,,,,,
54,30017,46781,37773,43423,44525,40262,50264,51145,51825,56266,75224,51472,31462,75220,75220,75157,75224,,,,,,
54.5,30316,47207,38123,43794,44923,40606,50803,51548,52326,56742,75896,52022,31774,75893,75893,75822,75896,,,,,,
55,30576,47594,38434,44127,45283,40820,51150,51912,52699,57180,76530,52377,32047,76527,76527,76448,76530,,,,,,
55.5,30874,48020,38784,44499,45681,41163,51689,52315,53200,57657,77202,52927,32359,77200,77200,77113,77202,,,,,,
56,31134,48408,39095,44831,46041,41378,52035,52679,53573,58095,77835,53282,32632,77834,77834,77739,77835,,,,,,
56.5,31433,48834,39444,45203,46439,41721,52574,53082,54074,58572,78507,53832,32944,78506,78506,78404,78507,,,,,,
57,31692,49221,39755,45536,46799,41936,52920,53446,54447,59010,79141,54188,33217,79140,79140,79030,79141,,,,,,
57.5,31991,49647,40105,45907,47197,42279,53460,53849,54948,59487,79813,54737,33529,79813,79813,79695,79813,,,,,,
58,32251,50035,40416,46240,47557,42494,53806,54213,55321,59925,80446,55093,33803,80446,80446,80322,80446,,,,,,
58.5,32549,50461,40765,46611,47955,42836,54345,54616,55822,60402,81119,55642,34115,81119,81119,80987,81119,,,,,,
59,32809,50848,41076,46944,48315,43051,54691,54880,56194,60840,81752,55998,34388,81753,81753,81613,81752,,,,,,
59.5,33108,51274,41426,47315,48713,43394,55231,55383,56696,61317,82424,56547,34700,82426,82426,82778,82424,,,,,,
60,33367,51661,41737,47648,49073,43609,55577,55747,57068,61755,83058,56902,34973,83060,83060,82904,83058,,,,,,
60.5,33666,52087,42087,48019,49471,43952,56116,56150,57569,62232,83730,57452,35285,83732,83732,83569,83730,,,,,,
61,33926,52475,42398,48352,49831,44167,56462,56514,57942,62670,84363,57808,35588,84366,84366,84195,84363,,,,,,
61.5,34224,52901,42747,48724,50229,44510,57001,56917,58443,63146,85035,58357,35870,85039,85039,84860,85035,,,,,,
62,34484,53288,43058,49056,50589,44724,57348,57281,58816,63584,85669,58712,36144,85673,85673,85487,85669,,,,,,
62.5,32138,53714,43408,49428,50987,45067,57887,57684,59317,64061,86344,59262,36456,86345,86345,86151,86341,,,,,,
63,35043,54102,43719,49761,51347,45282,58233,58048,59690,64499,86974,59617,36729,86979,86979,86778,86974,,,,,,
63.5,35341,54528,44069,50132,51745,45625,58772,58451,60191,64976,87647,60167,37041,87652,87652,87443,87647,,,,,,
64,35601,54915,44380,50465,52105,45840,59119,58815,60564,65414,88280,60523,37314,88286,88286,88069,88280,,,,,,
65,38899,55341,44729,50836,52503,46183,59658,59218,61065,65991,88952,61027,37626,88959,88959,88734,88952,,,,,,
65,36159,55728,45040,51169,52863,46398,60004,59582,61437,66239,89586,61427,37899,89952,89592,89360,89586,,,,,,
65.5,36458,56155,45390,51540,53261,46741,60543,59985,61938,66806,90325,61977,38211,90265,90265,90025,90265,,,,,,
66,36718,56542,45701,51873,53621,46955,60889,60349,62311,67244,90891,62332,38485,90899,90899,90651,90891,,,,,,
66.5,37016,56968,46050,52245,54019,47298,61429,60752,62812,67721,91563,62881,38796,91572,91572,91316,91563,,,,,,
67,37276,57355,46361,52577,54379,47513,61775,61117,63185,68159,92197,63237,39070,92206,92206,91943,92197,,,,,,
67.5,37574,57781,46711,52949,54777,47856,62314,61519,63686,68635,92869,63798,39382,92878,92878,92608,92869,,,,,,
68,37834,58169,47022,53281,55137,48071,62660,61884,64059,69074,93503,64142,39655,93512,93512,93234,93503,,,,,,
68.5,38133,58595,47371,53653,55535,48414,63200,62286,64560,69550,94175,64692,39967,94185,94185,93899,94175,,,,,,
69,38393,58882,47682,53986,55895,48629,63546,62651,64933,69988,94808,65047,40240,94819,94819,94525,94808,,,,,,
69.5,38691,59408,48032,54357,56293,48972,64085,63054,65434,70465,95480,65596,40552,95491,95491,95190,95480,,,,,,
70,38951,59796,48343,54690,56653,49186,64431,63418,65807,70003,96114,65952,40825,96125,96125,95816,96114,,,,,,
